Item ID,Item Name,Item Number
item-1540,Icon: "Merry X'mas WOOF!",1
item-1541,Icon: "I want hugs!",1
item-1542,ID Card: An Embrace through Time and Space,1
item-1553,NTW-20 Neural Upgrade Icon,1
item-1555,Background: The Cozy Snowy Yard,1
item-1563,ID Card: Rider in the Snow,1
item-1566,Icon: Split-Second,1
item-1567,ID: Impending Boom,1
item-1611,Icon: Tsavorite Girl,1
item-1612,Icon: The Eye of Storytelling,1
item-1613,ID: The Edge of Time,1
item-1614,Background: Twilight City,1
item-1615,ID Card: Black Canyon,1
item-1619,KSVK Neural Upgrade Icon,1
item-1626,Icon: 2nd Anniversary Icon,1
item-1669,ID Card: BBQ by the Azure Sea,1
item-1670,Icon: Tropical Mojito,1
item-1671,Icon: Sunset of Day 51,1
item-1673,Icon: Soothing Vanilla,1
item-1674,Icon: Girls' Sorcerer,1
item-1675,Icon: Dessert Taster,1
item-1676,Icon: Sleeping Pumpkin Princess,1
item-1677,Icon: Honey Sunlight,1
item-1678,ID: Seed of All Wishes,1
item-1679,ID: Fruit of Doubt,1
item-1703,Icon: Constructive Pattern,1
item-1704,Icon: Tipped Scales,1
item-1705,ID: Rebels' Smoke Signal,1
item-1706,Background: Chloris' Floral Path,1
item-1707,Gr G11 Neural Upgrade Icon,1
item-1741,Icon: Silent Farewell,1
item-1742,Icon: Life of Deception,1
item-1743,ID: Curtain Call,1
item-1744,The Witch's Plan,1
item-1758,Icon: Original Sin - Leviathan,1
item-1759,Icon: Original Sin - Samael,1
item-1760,Icon: "The Commander is at Griffin",1
item-1761,Icon: Agent "Dima",1
item-1762,ID: Last Gaming,1
item-1763,ID: City of Tomorrow,1
item-1764,ID: First Light,1
item-1765,ID: Cold Shelter,1
item-1766,Background: Safe House,1
item-1776,ID: Girls by the Hearth,1
item-1844,ID: Spring Carnival,1
item-1860,ID: NA Server 3rd Anniversary Commemorative ID,1
item-1906,Icon: Scry Thy Heart,1
item-1907,Icon: Taste the Warmth,1
item-1908,Icon: Memory of a Friend,1
item-1909,Icon: Sigh of Nostalgia,1
item-1910,Icon: Toil for Tomorrow,1
item-1911,Icon: Call of the Devil,1
item-1912,Icon: Mourning ? Tears,1
item-1913,Icon: Demon Overlord ? Mind's Eye,1
item-1914,ID: Cozy Tatami,1
item-1915,Background: Birthplace of Dreams,1
item-1916,Background: Promised Dream Hotel,1
item-1990,Icon: Pink Eye of Enthrallment,1
item-1991,Icon: Purple Night of Rapture,1
item-1992,ID card: Maelstrom of Pink and Purple,1
item-2013,Icon: Birth of Starlight,1
item-2014,Icon: Raise a Glass in Joyful Song,1
item-2015,Icon: Walking in Solitude,1
item-2016,Icon: Best Partner,2
item-2017,Icon:  Setting Sail,1
item-2018,Icon:  Friend of Pure Loyalty,1
item-2019,ID:  Screen Breakers,1
item-4001,City's Gift,76927
item-4002,Snowfield's Gift,5760
item-4003,Forest's Gift,77896
item-4004,Wasteland's Gift,43201
item-6001,Ordinary Meat Bun,1
item-6002,Bundle of Meat Buns,0
item-6003,Trove of Meat Buns,26
item-6004,Commonfolk Standard,2
item-6005,Comfort Bucket for One,2
item-6006,Full Meal for Two,70
item-6007,Strawberry Cheesecake Slice,1
item-6008,One Week's Cake Selection,2
item-6009,Sweet Explosives,45
item-6010,"Baby  B-A-B-Y.",2
item-6011,Streetside Oden,0
item-6012,Wild Honeycomb,1
item-6013,Icy Theater,1
item-8001,Intel Points,3585
item-8003,Intel Points,0
item-9003,Supply Box,0
item-9004,Supply Box,0
item-9005,Supply Box,0
item-9006,item-10009006,1
item-9007,item-10009007,1
item-10603,Extra Potential Energy,0
item-10604,Extra Impulse,60
item-100009,Crown of Respect,80
item-100020,True Core Mask·3rd Anniversary,0
item-100021,Crate,0
item-100023,White Knight Armor Fragments,80
item-100025,True Core Mask - Shattered Connexion,0
item-100030,Nova Medal,113
item-100031,Platinum Medal,31
item-100032,True Core Mask - Polarized Light,0
item-100033,Nova Medal,2
item-100034,Platinum Medal,8
item-100035,Tangerine Coin,60
item-100047,Nova Medal,3
item-100048,Platinum Medal,4
item-100049,Azure Conch,20
item-100050,Nova Medal – Il Teatrino,4
item-100051,Platinum Medal – Il Teatrino,3
item-100052,Augustus,0
item-100057,True Core Mask - Dual Randomness,0
item-100058,Nova Medal - Dual Randomness,312
item-100059,Platinum Medal - Dual Randomness,463
item-100062,Jade Coffer,0
item-100063,Strange Soap,4
item-100064,Nova Medal,2
item-100065,Platinum Medal,1
item-100066,Butterfly Mirage,40
item-100067,Nova Medal - Butterfly in a Cocoon,1
item-100068,Platinum Medal - Butterfly in a Cocoon,3
item-100069,Commander Headwear: Monster Overlord,2
item-100070,Phoenix Token,0
item-100071,Nova Medal - Bounty Feast,4
item-100072,Platinum Medal - Bounty Feast,1
item-100073,Star Ornament,10
item-100074,Nova Medal·A Snowy Night Capriccio,2
item-100075,Platinum Medal·A Snowy Night Capriccio,4
item-100081,Nova Medal - The Photo Studio Mystery,222
item-100082,Platinum Medal - The Photo Studio Mystery,12
item-100083,Tangerine Coin,10
item-100092,Nova Medal - Far Side of the Sea,3
item-100093,Platinum Medal - Far Side of the Sea,0
item-100094,Azure Conch,10
item-100099,Platinum Medal – My Devil's Frontline,24
item-100100,Token of Life,5
item-100108,Strange Soap,70
item-100109,Nova Medal - Freaky Pandemic,0
item-100110,Platinum Medal - Freaky Pandemic,2
item-100117,Star Ornament,330
item-100118,Nova Medal·A Snowy Night Capriccio,4
item-100119,Platinum Medal·A Snowy Night Capriccio,3
item-100123,Xmas Coin,60
item-100124,Nova Medal - One Coin Short,2
item-100125,Platinum Medal - One Coin Short,2
item-110007,Event Points,2020
item-110008,Event Points,2420
item-110009,Event Points,2600
item-110010,Event Points,3000
item-110011,Event Points,2500
item-110012,Event Points,2500
item-110013,Event Points,2850
item-110014,Event Points,2470
item-110015,Event Points,2420
item-110016,Event Points,2400
item-110017,Event Points,2500
item-110018,Event Points,2440
item-110019,Event Points,2400
item-900031,Platinum Medal,1
item-900032,Nova Medal,2
item-900034,Nova Medal·Shattered Connexion,3
item-900035,Platinum Medal·Shattered Connexion,0
item-900036,Crown of Respect,0
item-900037,Nova Medal·DJMAX,8
item-900038,Platinum Medal·DJMAX,2
item-900039,Xmas Supply Box,0
gift-5508,Pink Pear Blossom,1
gift-6608,Raise the Christmas Elf,1
gift-100001,Lollipop,69
gift-100002,Ice Cream Cone,37
gift-100003,Strawberry Custard Cheesecake,577
gift-200001,Combat Report,10487
gift-400001,Rapid Growth Disk,1383
furniture-10107,Multifunctional Workbench,7
furniture-10206,Isolated Cat Tree,6
furniture-10307,Automated Doghouse,7
furniture-10404,Simple Bird Stand,4
furniture-10504,Simple Multifunction Temperature-Controlled Enclosure,4
furniture-20110,Digital Era Desk,10
furniture-20210,Advanced Drone Console,10
furniture-20310,Advanced Automated Operating Station,10
furniture-20510,Modern Large Server,10
furniture-20410,Hard Disk Array Data Table,10
furniture-20610,Advanced Automated Writer,10
furniture-20700,Bookshelf of Memories,0
furniture-30110,Fairy Palace,10
furniture-30210,King Railway Hub Model,10
furniture-30310,Advanced Warehouse Model,10
furniture-30410,Twin Moon Weather System,10
furniture-40023,Cafe Bar Coffee Machine,0
furniture-40024,Gramophone,0
furniture-40026,Notebook,0
furniture-40027,Projector,0
furniture-40028,Comic Stand,0
furniture-40009,Luffberry chess,0
furniture-50110,Data Detection Hub,10
furniture-50210,Holographic Mission Center,10
furniture-50310,Ultra High-Speed Liquid-Cooled Storage,10
furniture-50410,Futuristic Analysis Terminal,10
furniture-60110,Storeroom,10
furniture-60203,Large Maintenance Machinery,3
furniture-60310,Integrated Indoor Training Range,10
furniture-60400,Elevator - To the camp,0
furniture-70100,Elevator - To the garage,0
furniture-70003,furniture_establish-10070003,0
furniture-70004,furniture_establish-10070004,0
furniture-70005,furniture_establish-10070005,0
furniture-70006,furniture_establish-10070006,0
furniture-70007,furniture_establish-10070007,0
furniture-70008,furniture_establish-10070008,0
furniture-70009,furniture_establish-10070009,0
furniture-70010,furniture_establish-10070010,0
furniture-80007,Real Time Relay Terminal,0
furniture-80011,Black Market Shop,0
furniture-80110,Advanced Gate Console,10
furniture-80306,Advanced Loot Rack,6
furniture-90110,Impulse Reactor,10
furniture-90205,Tactical Chip Research Station,5
furniture-90400,Symmetric Infusion Drive,0
